-407 -424 -374.44 -390.08
-395 -430 -363.4 -395.6
-341 -473 -313.72 -435.16
-283 -493 -260.36 -453.56
-264 -497 -242.88 -457.24
-257 -496 -236.44 -456.32
-205 -517 -188.6 -475.64
-138 -522 -126.96 -480.24
-41 -531 -37.72 -488.52
-254 -524 -233.68 -482.08
20 -521 18.4 -479.32
28 -525 25.76 -483.0
39 -529 35.88 -486.68
59 -506 54.28 -465.52
103 -483 94.76 -444.36
176 -401 161.92 -368.92
215 -378 197.8 -347.76
249 -346 229.08 -318.32
270 -314 248.4 -288.88
432 -203 397.44 -186.76
414 -210 380.88 -193.2
384 -227 353.28 -208.84
313 -243 287.96 -223.56
285 -241 262.2 -221.72
364 -107 334.88 -98.44
266 -31 244.72 -28.52
131 109 120.52 100.28
100 132 92.0 121.44
28 174 25.76 160.08
29 175 26.68 161.0
9 245 8.28 225.4
8 244 7.36 224.48
13 240 11.96 220.8
-53 232 -48.76 213.44
-98 220 -90.16 202.4
-219 170 -201.48 156.4
-248 166 -228.16 152.72
-268 153 -246.56 140.76
-353 87 -324.76 80.04
-376 110 -345.92 101.2
-354 156 -325.68 143.52
-358 164 -329.36 150.88
-472 -15 -434.24 -13.8
-448 -158 -412.16 -145.36
-468 -376 -430.56 -345.92
-400 -432 -368.0 -397.44
-346 -461 -318.32 -424.12
-316 -473 -290.72 -435.16
-282 -489 -259.44 -449.88
-266 -495 -244.72 -455.4
-193 -518 -177.56 -476.56
-144 -520 -132.48 -478.4
-234 -504 -215.28 -463.68
-183 -511 -168.36 -470.12
-144 -524 -132.48 -482.08
-37 -512 -34.04 -471.04
-9 -517 -8.28 -475.64
-18 -509 -16.56 -468.28
-6 -511 -5.52 -470.12
16 -483 14.72 -444.36
48 -457 44.16 -420.44
95 -417 87.4 -383.64
98 -429 90.16 -394.68
22 -489 20.24 -449.88
-169 -512 -155.48 -471.04
-286 -477 -263.12 -438.84
-393 -425 -361.56 -391.0
-436 -370 -401.12 -340.4
-512 -213 -471.04 -195.96
-520 -191 -478.4 -175.72
-550 -29 -506.0 -26.68
-532 69 -489.44 63.48
-480 167 -441.6 153.64
-355 272 -326.6 250.24
-154 287 -141.68 264.04
-76 276 -69.92 253.92
10 240 9.2 220.8
177 35 162.84 32.2
179 5 164.68 4.6
183 -44 168.36 -40.48
175 -96 161.0 -88.32
217 -110 199.64 -101.2
266 -113 244.72 -103.96
